,title,price,rating,reviews,url
0,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600.00",4.0 out of 5 stars,540 ratings,https://www.amazon.inNot Available
1,"Victorinox Altmont Classic, Rolltop Laptop Backpack, Olive Camo (609849)","₹7,632.00",4.9 out of 5 stars,17 ratings,https://www.amazon.inNot Available
2,Skybags Brat Black 46 Cms Casual Backpack,₹669.00,4.1 out of 5 stars,"5,534 ratings",https://www.amazon.inNot Available
3,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199.00",4.0 out of 5 stars,"55,280 ratings",https://www.amazon.inNot Available
4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849.00,3.9 out of 5 stars,"3,451 ratings",https://www.amazon.inNot Available
5,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹699.00,4.0 out of 5 stars,378 ratings,https://www.amazon.inNot Available
6,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹420,4.1 out of 5 stars,74 ratings,https://www.amazon.inNot Available
7,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",₹329.00,4.3 out of 5 stars,"30,012 ratings",https://www.amazon.inNot Available
8,Amazon Basics Laptop Backpack,₹649.00,4.2 out of 5 stars,507 ratings,https://www.amazon.inNot Available
9,Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW,₹298.00,4.0 out of 5 stars,385 ratings,https://www.amazon.inNot Available
10,"Amazon Brand - Solimo Diaper Backpack, Cat Print","₹1,349.00",4.0 out of 5 stars,39 ratings,https://www.amazon.inNot Available
